Prompt Title,Prompt,Business Terminology Type,Type
Create a Notion Dashboard,Suggest a structure for a productivity dashboard in Notion to manage daily tasks and projects.,System Building & Organization,
Organize a Workflow,Outline a step-by-step process for setting up a streamlined workflow for recurring tasks.,System Building & Organization,
Optimize File Management,Provide a system for organizing files and folders for maximum efficiency.,System Building & Organization,
Automate Repetitive Tasks,Suggest tools and prompts to automate recurring tasks in a system or workflow.,System Building & Organization,
Develop a Knowledge Hub,Create a structure for a centralized knowledge base to store and retrieve important information easily.,System Building & Organization,
Don’t sound like AI,Open Doc for Prompt,General Writing Frameworks,
Create a Basic Outline,"Provide a step-by-step outline for writing an article, blog, or essay with sections for introduction, body, and conclusion.",General Writing Frameworks,Prompt
Structure a Logical Argument,"Help structure an argument for a specific idea with key points, evidence, and a counterpoint section.",General Writing Frameworks,Prompt
Explain a Complex Concept,Break down a complex topic into a simple framework that a beginner can easily understand.,General Writing Frameworks,Prompt
Compare Two Ideas,"Write a comparison between two ideas, focusing on their strengths and weaknesses.",General Writing Frameworks,Prompt
Summarize a Topic,"Provide a concise summary of a topic in less than 200 words, focusing on the main idea.",General Writing Frameworks,Prompt
Write an Article,Write an article using my framework about the following.,General Writing Frameworks,"""Learn This"" Template, Prompt"
Daily Reflection,Generate a journaling prompt for reflecting on today’s successes and challenges.,Journaling & Personal Development,
Goal Setting,Create a framework for setting and tracking goals over the next month.,Journaling & Personal Development,
Gratitude Practice,Suggest a gratitude journaling prompt to help focus on the positives from the past week.,Journaling & Personal Development,
Identify Personal Growth Areas,List questions to help identify areas for personal development.,Journaling & Personal Development,
Self-Discovery Prompt,Write a journaling question that helps uncover core values and motivations.,Journaling & Personal Development,
Concept Refinement,Refine into core concept without losing quality of message:,Journaling & Personal Development,
Analyze an Event,"Provide a framework to analyze an event or situation with context, impact, and lessons learned.",Analytical & Reflective Writing,
Compare Past and Present,Create a prompt for reflecting on how views on a topic have evolved over time.,Analytical & Reflective Writing,
Evaluate a Decision,Suggest steps for reflecting on a recent decision to evaluate its outcomes and alternatives.,Analytical & Reflective Writing,
Identify Patterns,Provide guidance on identifying recurring patterns in personal or professional life through reflective writing.,Analytical & Reflective Writing,
Lesson Learned Prompt,Suggest journaling questions to extract key lessons from a recent experience.,Analytical & Reflective Writing,
Hero’s Journey Framework,Create a story outline using the Hero’s Journey structure for a chosen character.,Storytelling & Narratives,
Compelling Opening Line,Write an engaging opening line for a story about a specific theme or concept.,Storytelling & Narratives,
Build a Character Profile,"Develop a character profile including motivations, strengths, and flaws.",Storytelling & Narratives,
Plot Twists,Suggest three unique plot twists for a story set in a specific setting.,Storytelling & Narratives,
Write a Scene,Provide a detailed prompt for writing a vivid scene in a chosen genre or setting.,Storytelling & Narratives,
Create a Step-by-Step Guide,Outline a clear and detailed guide for teaching a beginner-level concept or skill.,Educational & Instructional Writing,
Design a Learning Module,"Provide a structure for a learning module, including objectives, steps, and evaluation methods.",Educational & Instructional Writing,
Break Down Complex Topics,Explain a technical concept in a way that is accessible to a non-expert audience.,Educational & Instructional Writing,
Generate Examples for Teaching,List examples or analogies to explain a concept more effectively to learners.,Educational & Instructional Writing,
Assess Learning Outcomes,Suggest ways to assess whether a learner has understood a topic or concept.,Educational & Instructional Writing,
Brainstorm Creative Ideas,Generate ten unique ideas for a creative project in any medium or format.,Creative & Expressive Writing,
Write a Poem in a Style,Craft a prompt for writing a poem in a specific style or form.,Creative & Expressive Writing,
