ID,Category,AI Tool,Goal,Prompt
1,SEO,ChatGPT,Creative Brief,Construct a step-by-step creative brief generator using business goals and user personas. Include conditional logic for different market segments in the seo industry.
2,Marketing,Midjourney,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Build in checkpoints for iterative refinement for marketing applications."
3,Image Creation,DALL·E,Visual Asset Creation,Design a multi-step instruction for creating brand-consistent visual assets from written campaign briefs. Ensure cross-functional applicability in image creation campaigns.
4,Video Creation,Sora,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Apply this to the field of video creation with a focus on scalability."
5,CRM,Claude,Legal Simplification,Develop a legal clause simplification engine using a layered instruction strategy. Include conditional logic for different market segments in the crm industry.
6,Newsletter,Gemini,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Ensure cross-functional applicability in newsletter campaigns."
7,Social Media,ChatGPT,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Align the structure to funnel stages within a social media ecosystem.
8,E-Commerce,Midjourney,Visual Asset Creation,Design a multi-step instruction for creating brand-consistent visual assets from written campaign briefs. Integrate this into a CRM workflow using e-commerce data.
9,Education,DALL·E,Content Planning,Generate a dynamic content plan based on real-time analytics and past performance benchmarks. Incorporate brand guidelines automatically when used for education content.
10,SaaS Product,Sora,UX Evaluation,Create a prompt to evaluate UX copy for inclusiveness and emotional resonance. Apply this to the field of saas product with a focus on scalability.
11,Customer Support,Claude,UX Evaluation,Create a prompt to evaluate UX copy for inclusiveness and emotional resonance. Refine outputs using user feedback loops specifically within customer support settings.
12,Legal,Gemini,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Include conditional logic for different market segments in the legal industry.
13,Finance,ChatGPT,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Refine outputs using user feedback loops specifically within finance settings."
14,HR & Hiring,Midjourney,Legal Simplification,Develop a legal clause simplification engine using a layered instruction strategy. Integrate this into a CRM workflow using hr & hiring data.
15,Personal Development,DALL·E,Sentiment Analysis,Develop a modular prompt to conduct sentiment analysis on customer reviews and suggest improvements to tone and clarity. Refine outputs using user feedback loops specifically within personal development settings.
16,Writing & Blogging,Sora,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Refine outputs using user feedback loops specifically within writing & blogging settings.
17,UX/UI Design,Claude,Creative Brief,Construct a step-by-step creative brief generator using business goals and user personas. Adapt it for AI-driven ux/ui design strategies targeting multiple personas.
18,Data Analysis,Gemini,Sentiment Analysis,Develop a modular prompt to conduct sentiment analysis on customer reviews and suggest improvements to tone and clarity. Align the structure to funnel stages within a data analysis ecosystem.
19,Productivity,ChatGPT,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Apply this to the field of productivity with a focus on scalability."
20,Event Planning,Midjourney,Visual Asset Creation,Design a multi-step instruction for creating brand-consistent visual assets from written campaign briefs. Include conditional logic for different market segments in the event planning industry.
21,SEO,DALL·E,UX Evaluation,Create a prompt to evaluate UX copy for inclusiveness and emotional resonance. Adapt it for AI-driven seo strategies targeting multiple personas.
22,Marketing,Sora,Advanced Prompt,Build a scenario-planning tool for exploring various outcomes based on different customer personas. Build in checkpoints for iterative refinement for marketing applications.
23,Image Creation,Claude,Content Planning,Generate a dynamic content plan based on real-time analytics and past performance benchmarks. Incorporate brand guidelines automatically when used for image creation content.
24,Video Creation,Gemini,Sentiment Analysis,Develop a modular prompt to conduct sentiment analysis on customer reviews and suggest improvements to tone and clarity. Optimize for enterprise-level use in video creation.
25,CRM,ChatGPT,Creative Brief,Construct a step-by-step creative brief generator using business goals and user personas. Include conditional logic for different market segments in the crm industry.
26,Newsletter,Midjourney,Creative Brief,Construct a step-by-step creative brief generator using business goals and user personas. Incorporate brand guidelines automatically when used for newsletter content.
27,Social Media,DALL·E,Visual Asset Creation,Design a multi-step instruction for creating brand-consistent visual assets from written campaign briefs. Optimize for enterprise-level use in social media.
28,E-Commerce,Sora,Visual Asset Creation,Design a multi-step instruction for creating brand-consistent visual assets from written campaign briefs. Ensure cross-functional applicability in e-commerce campaigns.
29,Education,Claude,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Include conditional logic for different market segments in the education industry.
30,SaaS Product,Gemini,Visual Asset Creation,Design a multi-step instruction for creating brand-consistent visual assets from written campaign briefs. Ensure cross-functional applicability in saas product campaigns.
31,Customer Support,ChatGPT,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Build in checkpoints for iterative refinement for customer support applications."
32,Legal,Midjourney,Legal Simplification,Develop a legal clause simplification engine using a layered instruction strategy. Optimize for enterprise-level use in legal.
33,Finance,DALL·E,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Refine outputs using user feedback loops specifically within finance settings.
34,HR & Hiring,Sora,Advanced Prompt,Build a scenario-planning tool for exploring various outcomes based on different customer personas. Adapt it for AI-driven hr & hiring strategies targeting multiple personas.
35,Personal Development,Claude,Product Strategy,Simulate a dialogue between an expert consultant and a stakeholder to refine a product strategy. Build in checkpoints for iterative refinement for personal development applications.
36,Writing & Blogging,Gemini,Content Ideation,"Write a prompt chain that takes raw user data, clusters it, and generates tailored content ideas. Adapt it for AI-driven writing & blogging strategies targeting multiple personas."
37,UX/UI Design,ChatGPT,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Apply this to the field of ux/ui design with a focus on scalability.
38,Data Analysis,Midjourney,Email Campaigns,Create an adaptive prompt for generating multilingual email campaigns with consistent tone and CTAs. Optimize for enterprise-level use in data analysis.
39,Productivity,DALL·E,Legal Simplification,Develop a legal clause simplification engine using a layered instruction strategy. Refine outputs using user feedback loops specifically within productivity settings.
40,Event Planning,Sora,Creative Brief,Construct a step-by-step creative brief generator using business goals and user personas. Build in checkpoints for iterative refinement for event planning applications.
